Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
2010 Spr,Nepal,"USA, Canada, Nepal, Norway, Switzerland, UK",Josette Valloton,S Col-SE Ridge,Success,5,,EVER-101-64
2010 Spr,Nepal,"Canada, Argentina, Australia, Finland, Ireland, Oman, Turkey, UK, USA",Tim Rippel,S Col-SE Ridge,Success,19,,EVER-101-65
2010 Spr,China,Nepal,Lal Bahadur Jirel,N Col-NE Ridge,Success,1,,EVER-101-66
2010 Spr,China,"Russia, Macedonia, Poland, UK, Ukraine, USA",Alex Abramov,N Col-NE Ridge,Success,20,,EVER-101-67
2010 Spr,China,Bangladesh,Mohammad Musa Ibrahim,N Col-NE Ridge,Success,3,,EVER-101-68
2010 Spr,Nepal,"USA, Ireland, Poland",Scott Woolums,S Col-SE Ridge,Success,18,,EVER-101-69
2010 Spr,China,"Austria, Germany",Wilfried Studer,N Col-NE Ridge,Success,5,,EVER-101-70
2010 Spr,China,"USA, Australia, Canada, Germany, Norway, UK",Dan Mazur,N Col-NE Ridge,Success,17,1,EVER-101-71
2010 Spr,Nepal,Nepal,Rana Bahadur Tamang,S Col-SE Ridge,Success,1,,EVER-101-72
2010 Spr,Nepal,"Italy, Kazakhstan",Simone Moro,S Col-SE Ridge,Success,1,,EVER-101-73
2010 Spr,Nepal,Germany,Michael Niemeier,S Col-SE Ridge,Success,2,,EVER-101-74
2010 Spr,China,Canada,Gabriel Filippi,N Col-NE Ridge,Success,2,,EVER-101-75
2010 Spr,China,Peru,Richard Hidalgo,N Col-NE Ridge,Route Difficulty,,,EVER-101-76
2010 Spr,Nepal,"USA, Australia, Germany",Garrett Madison,S Col-SE Ridge,Success,17,,EVER-101-77
2010 Spr,China,"UK, Australia, Canada, Netherlands, USA",Stuart Peacock,N Col-NE Ridge,Success,11,,EVER-101-78
2010 Spr,Nepal,"New Zealand, Australia, China, Denmark, France, Germany, Japan, Oman, Romania, Spain, UK, USA",Russell Brice,S Col-SE Ridge,Success,33,,EVER-101-79
2010 Spr,Nepal,"USA, Canada, China, Czech Republic, Germany, Greece, Singapore, S Africa, Taiwan, UK",Mike Hamill,S Col-SE Ridge,Success,41,,EVER-101-80
2010 Spr,Nepal,USA,David Hahn,S Col-SE Ridge,Success,12,,EVER-101-81
2010 Aut,Nepal,USA,Eric Larsen,S Col-SE Ridge,Success,6,,EVER-103-01
2010 Aut,China,Italy,Edmond Joyeusaz,N Face (to 6000m),Bad Conditions,,,EVER-103-02
2010 Aut,China,Spain,Alberto Zerain,N Face (to 6300m) / N Col-NE Ridge (to 5800m),Bad Conditions,,,EVER-103-03
2010 Aut,Nepal,Japan,Nobukazu Kuriki,S Col-SE Ridge,Bad Conditions,,,EVER-103-04
2011 Spr,Nepal,"Nepal, Brazil, India, Japan, Mexico, Nepal, Spain, Switzerland, USA",Dawa Steven Sherpa,S Col-SE Ridge,Success,38,,EVER-111-01
2011 Spr,China,"Nepal, Austria, Canada, Ireland, Mexico, Russia, Sweden, Switzerland, USA",Hari Bahadur Basnet,N Col-NE Ridge,Success,11,,EVER-111-02
2011 Spr,China,"China, Japan",Wangchen Sonam,N Col-NE Ridge,Success,35,,EVER-111-03
2011 Spr,China,USA,Kyle Beaird,N Col-NE Ridge,Success,2,,EVER-111-04
2011 Spr,Nepal,"UK, France",Kenton Cool,S Col-SE Ridge,Success,4,,EVER-111-05
2011 Spr,Nepal,Japan,Kenji Kondo,S Col-SE Ridge,Success,6,,EVER-111-06
2011 Spr,Nepal,Spain,Unai Llantada,S Col-SE Ridge,Success,2,,EVER-111-07
2011 Spr,China,Australia,Andrew Lock,N Col-NE Ridge,Bad Weather,,,EVER-111-08
2011 Spr,Nepal,Italy,Daniele Nardi,S Col-SE Ridge,Other,,,EVER-111-09
2011 Spr,China,"Switzerland, USA",Ueli Steck,N Col-NE Ridge,"Illness, AMS",,,EVER-111-10
2011 Spr,Nepal,USA,Dave Morton,S Col-SE Ridge,"Illness, AMS",,,EVER-111-11
2011 Spr,Nepal,India,K. Romeo Meetei,S Col-SE Ridge,Success,2,,EVER-111-12
2011 Spr,Nepal,USA,Jim Williams,S Col-SE Ridge,Success,2,,EVER-111-13
2011 Spr,China,Japan,Takaharu Hayashi,N Col-NE Ridge,Bad Weather,,,EVER-111-14
2011 Spr,China,Italy,Luigi Rampini,N Col-NE Ridge,Lack of Supplies,,,EVER-111-15
2011 Spr,Nepal,Iran,Hamid Reza Dehghan,S Col-SE Ridge,Success,2,,EVER-111-16
2011 Spr,Nepal,Australia,Alessandra Pepper,S Col-SE Ridge,Success,2,,EVER-111-17
2011 Spr,China,S Africa,Janusz Warchol,N Col-NE Ridge,"Illness, AMS",,,EVER-111-18
2011 Spr,Nepal,"UK, Australia, Czech Republic",Phil Crampton,S Col-SE Ridge,Success,3,,EVER-111-19
2011 Spr,Nepal,Japan,Naoko Watanabe,S Col-SE Ridge,Bad Weather,,,EVER-111-20
2011 Spr,Nepal,"UK, Canada",Gavin Bate,S Col-SE Ridge,Success,4,,EVER-111-21
2011 Spr,Nepal,India,Jogabyasa Bhoi,S Col-SE Ridge,Success,2,,EVER-111-22
2011 Spr,China,Mongolia,Gangaamaa Badamgarav,N Col-NE Ridge,Success,2,,EVER-111-23
2011 Spr,China,Japan,Manabu Hirose,N Col-NE Ridge,Success,15,,EVER-111-24
