Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
2016 Spr,Nepal,China,Zhang An-Hua,S Col-SE Ridge,Success,3,,EVER-161-42
2016 Spr,Nepal,"Sweden, Norway",Lars Akerman,S Col-SE Ridge,Success,10,,EVER-161-43
2016 Spr,Nepal,Ukraine,Sergi Kishchenko,S Col-SE Ridge,Success,2,,EVER-161-44
2016 Spr,Nepal,"India, Iran, Japan, Poland",Jitesh Popatial Mody,S Col-SE Ridge,Success,16,,EVER-161-45
2016 Spr,Nepal,India,Dinesh Rathod,S Col-SE Ridge,Other,,,EVER-161-46
2016 Spr,Nepal,S Korea,Cha Jin-Chol,S Col-SE Ridge,Success,5,,EVER-161-47
2016 Spr,Nepal,India,Paresh Chandra Nath,S Col-SE Ridge,Success,2,3,EVER-161-48
2016 Spr,Nepal,Italy,Marco Zaffaroni,S Col-SE Ridge,Bad Weather,,,EVER-161-49
2016 Spr,Nepal,Belgium,Urbain Lenaerts,S Col-SE Ridge,Success,3,,EVER-161-50
2016 Spr,China,"Russia, China, Latvia, Nepal, Poland, UK, Ukraine",Alex Abramov,N Col-NE Ridge,Success,28,,EVER-161-51
2016 Spr,China,USA,Melissa Arnot,N Col-NE Ridge,Success,2,,EVER-161-52
2016 Spr,China,"UK, USA",Adrian Ballinger,N Col-NE Ridge,Success,1,,EVER-161-53
2016 Spr,China,"USA, Spain",Chad Peele,N Col-NE Ridge,Success,7,,EVER-161-54
2016 Spr,China,Chile,Eugenio Guzman,N Col-NE Ridge,Success,9,,EVER-161-55
2016 Spr,China,"Russia, France, Hungary, Japan, Singapore, UK, Ukraine",Victor Bobok,N Col-NE Ridge,Success,15,,EVER-161-56
2016 Spr,China,"USA, Japan, UK",Tim Medvetz,N Col-NE Ridge,Success,8,,EVER-161-57
2016 Spr,China,"Australia, Brazil, India, Italy, Japan, Mongolia, Poland, Spain",Liam Slater,N Col-NE Ridge,Success,12,,EVER-161-58
2016 Spr,China,Ecuador,Carla Perez,N Col-NE Ridge,Success,3,,EVER-161-59
2016 Spr,China,"Netherlands, Romania",Peter Boogaard,N Col-NE Ridge,Success,3,,EVER-161-60
2016 Spr,China,Sweden,Maria Granberg,N Col-NE Ridge,Success,3,,EVER-161-61
2016 Spr,China,Sweden,Robin Trygg,N Col-NE Ridge,Success,2,,EVER-161-62
2016 Spr,China,"Germany, Italy",Thomas Laemmle,N Col-NE Ridge,Success,1,,EVER-161-63
2016 Spr,China,Canada,Trevor Stuart,N Col-NE Ridge,Success,3,,EVER-161-64
2016 Spr,China,"Japan, France",Hiroyuki Kuraoka,N Col-NE Ridge,Success,5,,EVER-161-65
2016 Spr,China,Japan,Ryuseki Hiraoka,N Col-NE Ridge,Success,4,,EVER-161-66
2016 Spr,China,"Mexico, Argentina",Jorge Salazar,N Col-NE Ridge,Success,2,,EVER-161-67
2016 Spr,China,France,Ara Khatchadourian,N Col-NE Ridge,Success,2,,EVER-161-68
2016 Spr,China,"Nepal, Canada, Russia",Chatur Tamang,N Col-NE Ridge,Success,1,,EVER-161-69
2016 Spr,China,"Nepal, Argentina, Canada, Mexico, Malaysia, Switzerland",Pasang Tendi Sherpa,N Col-NE Ridge,Success,18,,EVER-161-70
2016 Spr,China,"Nepal, Switzerland",Pemba Norbu Sherpa,N Col-NE Ridge,Success,2,,EVER-161-71
2016 Spr,China,India,Shekhar Bachinepally,N Col-NE Ridge,Success,13,,EVER-161-72
2016 Spr,Nepal,Nepal,Ramesh Shimkada,S Col-SE Ridge,Success,3,,EVER-161-73
2016 Spr,China,UK,Chris Harling,N Col-NE Ridge,Success,6,,EVER-161-74
2016 Spr,Nepal,Nepal,Satish Man Pati,S Col-SE Ridge,Success,2,,EVER-161-75
2016 Spr,Nepal,Nepal,Nirmal Purja Pun Magar,S Col-SE Ridge,Success,2,,EVER-161-76
2016 Spr,Nepal,Nepal,Lhakpa Sherpa,S Col-SE Ridge,Success,4,,EVER-161-77
2016 Aut,China,"Spain, France",Kilian Jornet,N Face (Norton Couloir),Bad Conditions,,,EVER-163-01
2016 Aut,China,Japan,Nobukazu Kuriki,N Face (Hornbein Couloir),Bad Conditions,,,EVER-163-02
2016 Win,Nepal,Spain,Alex Chicon (Alex Txikon),S Col-SE Ridge,Bad Weather,,,EVER-164-01
2017 Spr,Nepal,"Nepal, Australia, Brazil, Denmark, Greece, India, Japan, S Africa, USA",Nima Namgyal Sherpa,S Col-SE Ridge,Success,9,,EVER-171-01
2017 Spr,Nepal,India,Satendra Sangwan,S Col-SE Ridge,Success,16,,EVER-171-02
2017 Spr,Nepal,"UK, Nepal",Richard Gale,S Col-SE Ridge,Success,26,,EVER-171-03
2017 Spr,Nepal,"Spain, Austria, Bulgaria, Chile, France, India, Iran, Morocco, Norway, Pakistan, Peru, Romania, S Korea, USA",Fernando Latorre,S Col-SE Ridge,Success,16,,EVER-171-04
2017 Spr,Nepal,Nepal,Nirmal Purja,S Col-SE Ridge,Success,2,,EVER-171-05
2017 Spr,Nepal,China,Song Yu-Jiang,S Col-SE Ridge,Bad Weather,,,EVER-171-06
2017 Spr,Nepal,China,Zhang Wei,S Col-SE Ridge,Success,9,,EVER-171-07
2017 Spr,Nepal,India,Sanjay Kulkarni,S Col-SE Ridge,Success,20,,EVER-171-08
2017 Spr,Nepal,"New Zealand, China, Japan, UK, USA",Russell Brice,S Col-SE Ridge,Success,8,,EVER-171-09
2017 Spr,Nepal,"USA, Australia, Canada, Dominican Republic, France, Germany, Morocco, Norway, UK",Greg Vernovage,S Col-SE Ridge,Success,55,,EVER-171-10
2017 Spr,Nepal,"USA, Australia",Ben Jones,S Col-SE Ridge,Success,12,1,EVER-171-11
2017 Spr,Nepal,"New Zealand, Australia, Ireland, UK, USA",Mike Roberts,S Col-SE Ridge,Success,31,,EVER-171-12
2017 Spr,Nepal,"UK, Australia, Ireland, USA",Tim Mosedale,S Col-SE Ridge,Success,9,,EVER-171-13
2017 Spr,Nepal,"USA, Canada, Venezuela","Willie Benegas, Damian Benegas",S Col-SE Ridge,Success,10,,EVER-171-14
2017 Spr,Nepal,"USA, Canada, India, Norway",Garrett Madison,S Col-SE Ridge,Success,27,,EVER-171-15
2017 Spr,Nepal,"Mexico, Australia, Brazil, Ireland, Norway, UK",Viridaina Alvarez,S Col-SE Ridge,Success,17,,EVER-171-16
2017 Spr,Nepal,"China, New Zealand",Tsang Yin-Hung (Ada),S Col-SE Ridge,Success,8,,EVER-171-17
2017 Spr,Nepal,"Belgium, Singapore",Damien Francois,S Col-SE Ridge,Success,3,,EVER-171-18
2017 Spr,Nepal,India,Vishal Dubey,S Col-SE Ridge,Success,13,,EVER-171-19
2017 Spr,Nepal,"USA, Australia, Germany, India, Israel, Norway, Poland",Dan Mazur,S Col-SE Ridge,Success,5,1,EVER-171-20
2017 Spr,Nepal,"USA, Ecuador, Ireland",Jacob Schmitz,S Col-SE Ridge,Success,11,,EVER-171-21
2017 Spr,Nepal,"New Zealand, China, Czech Republic, Japan, USA",Nicholas White,S Col-SE Ridge,Success,2,,EVER-171-22
2017 Spr,Nepal,"USA, Norway, Sweden",Ryan Waters,S Col-SE Ridge,Success,9,,EVER-171-23
2017 Spr,Nepal,Slovakia,Peter Abaffy,S Col-SE Ridge,"Illness, AMS",,,EVER-171-24
2017 Spr,Nepal,China,Sun Bin,S Col-SE Ridge,Success,18,,EVER-171-25
2017 Spr,Nepal,"China, Denmark, Japan, S Africa",Shi Lei,S Col-SE Ridge,Success,11,,EVER-171-26
2017 Spr,Nepal,Austria,Hannes Groebner,S Col-SE Ridge,Bad Weather,,,EVER-171-27
2017 Spr,Nepal,Argentina,German Braillard,S Col-SE Ridge,Lack of Supplies,,,EVER-171-28
2017 Spr,Nepal,Iran,Javad Noroozi,S Col-SE Ridge,Success,2,,EVER-171-29
2017 Spr,Nepal,Poland,Jaroslaw Gawrysiak,S Col-SE Ridge,Bad Weather,,,EVER-171-30
2017 Spr,Nepal,UK,Kenton Cool,S Col-SE Ridge,Lack of Supplies,,,EVER-171-31
2017 Spr,Nepal,Norway,Lisbeth Friberg,S Col-SE Ridge,Success,3,,EVER-171-32
2017 Spr,Nepal,USA,Paul Giorgio,S Col-SE Ridge,Bad Weather,,,EVER-171-33
2017 Spr,Nepal,Kosovo,Flutura Ibrahimi,S Col-SE Ridge,Success,6,,EVER-171-34
2017 Spr,Nepal,"UK, New Zealand",Neil Ward,S Col-SE Ridge,"Illness, AMS",,,EVER-171-35
2017 Spr,Nepal,India,Anshu Jamsenpa,S Col-SE Ridge,Success,3,,EVER-171-36
2017 Spr,Nepal,Japan,Takanobu Kajiyama,S Col-SE Ridge,Success,12,,EVER-171-37
2017 Spr,Nepal,Hungary,David Klein,S Col-SE Ridge,Lack of Time,,,EVER-171-38
2017 Spr,Nepal,Russia,Mariana Kyrgys,S Col-SE Ridge,Lack of Supplies,,,EVER-171-39
2017 Spr,Nepal,Germany,Karl Nesseler,S Col-SE Ridge,Success,2,,EVER-171-40
2017 Spr,Nepal,France,Elisabeth Revol,S Col-SE Ridge,Bad Weather,,,EVER-171-41
2017 Spr,Nepal,China,Sun Ye,S Col-SE Ridge,Success,5,,EVER-171-42
2017 Spr,Nepal,UK,John Wood,S Col-SE Ridge,Success,3,,EVER-171-43
2017 Spr,Nepal,India,Umesh Zirpe,S Col-SE Ridge,Bad Weather,,,EVER-171-44
2017 Spr,Nepal,Slovakia,Vladimir Strba,S Col-SE Ridge,"Illness, AMS",,1,EVER-171-45
2017 Spr,Nepal,Switzerland,Ueli Steck,W Ridge-SE Ridge-W Face of Lhotse,Accident,,,EVER-171-46
2017 Spr,Nepal,Nepal,Min Bahadur Sherchan,S Col-SE Ridge,Accident,,1,EVER-171-47
2017 Spr,Nepal,India,Ravi Kumar,S Col-SE Ridge,Success,2,1,EVER-171-48
2017 Spr,Nepal,Nepal,Sushil Sherma Limbu,S Col-SE Ridge,Success,2,,EVER-171-49
2017 Spr,Nepal,Nepal,Bhumira Gurung,S Col-SE Ridge,Success,2,,EVER-171-50
2017 Spr,Nepal,"S Africa, Malaysia",Wilmien Van der Merwe,S Col-SE Ridge,Success,4,,EVER-171-51
2017 Spr,Nepal,India,Samir Nicholas Patham,S Col-SE Ridge,Bad Weather,,,EVER-171-52
2017 Spr,Nepal,S Korea,Jang Hun-Moo,S Col-SE Ridge,Success,3,,EVER-171-53
2017 Spr,Nepal,S Africa,Ryan Sean Davy,S Col-SE Ridge,Other,,,EVER-171-54
2017 Spr,Nepal,Nepal,Pemba Dorje Sherpa,S Col-SE Ridge,Success,4,,EVER-171-55
2017 Spr,Nepal,"Bangladesh, Japan",Mridula Amatun Noor,S Col-SE Ridge,"Illness, AMS",,,EVER-171-56
2017 Spr,Nepal,"Australia, China, Greece, India, Italy, Japan, Malaysia",Samuel Sealey,S Col-SE Ridge,Success,13,,EVER-171-57
2017 Spr,Nepal,Norway,Guri Anne Hansen,S Col-SE Ridge,Lack of Supplies,,,EVER-171-58
2017 Spr,Nepal,Iceland,Vilborg Gissurardottir,S Col-SE Ridge,Success,2,,EVER-171-59
2017 Spr,Nepal,China,Hu Tao,S Col-SE Ridge,Success,4,,EVER-171-60
2017 Spr,Nepal,Kosovo,Nazmi Hasanramaj,S Col-SE Ridge,Success,4,,EVER-171-61
2017 Spr,Nepal,Australia,Gilian Kit Wai Lee,S Col-SE Ridge,Bad Weather,,,EVER-171-62
2017 Spr,Nepal,Nepal,Naba Raj Bastola,S Col-SE Ridge,Success,2,,EVER-171-63
2017 Spr,Nepal,Mexico,David Pastor,S Col-SE Ridge,"Illness, AMS",,,EVER-171-64
2017 Spr,Nepal,Japan,Nobukazu Kuriki,W Cwm-W Ridge-N Face (Hornbein Couloir),Bad Weather,,,EVER-171-65
2017 Spr,China,Japan,Nobukazu Kuriki,N Face (Great Couloir) / N Col-NE Ridge (to 7350m),Bad Conditions,,,EVER-171-66
2017 Spr,China,Nepal,Sherpa Rope-Fixing,N Col-NE Ridge,Success,9,,EVER-171-67
2017 Spr,China,India,Shekhar Bachinepally,N Col-NE Ridge,Success,37,,EVER-171-68
2017 Spr,China,"Russia, Nepal, Poland",Alex Abramov,N Col-NE Ridge,Success,21,,EVER-171-69
2017 Spr,China,"Netherlands, Australia, Brazil, Denmark",Arnold Coster,N Col-NE Ridge,Success,5,,EVER-171-70
2017 Spr,China,Peru,Richard Hidalgo,N Col-NE Ridge,"Illness, AMS",,,EVER-171-71
2017 Spr,China,"USA, Australia, Austria, UK",David O'Brien,N Col-NE Ridge,Success,13,,EVER-171-72
2017 Spr,China,"Switzerland, Australia, Germany, UK",Kari Kobler,N Col-NE Ridge,Success,20,,EVER-171-73
2017 Spr,China,Germany,Ralf Dujmovits,N Col-NE Ridge,"Illness, AMS",,,EVER-171-74
2017 Spr,China,UK,Jon Gupta,N Col-NE Ridge,Success,4,,EVER-171-75
2017 Spr,China,"Germany, Austria",Dominik Mueller,N Col-NE Ridge,Success,2,,EVER-171-76
2017 Spr,China,"Austria, Germany, Netherlands",Daniel Kopp,N Col-NE Ridge,Success,15,,EVER-171-77
2017 Spr,China,"UK, Ecuador, USA",Adrian Ballinger,N Col-NE Ridge,Success,13,,EVER-171-78
2017 Spr,China,Chile,Ernesto Olivares Miranda,N Col-NE Ridge,Success,2,,EVER-171-79
2017 Spr,China,"Nepal, Russia, Ukraine",Chatur Tamang,N Col-NE Ridge,Success,10,,EVER-171-80
2017 Spr,China,"Nepal, Poland, Sweden, USA",Chhiring Dorje Sherpa,N Col-NE Ridge,Success,6,,EVER-171-81
2017 Spr,China,"UK, Slovenia, USA",Sean James,N Col-NE Ridge,Success,6,,EVER-171-82
2017 Spr,China,"Nepal, France, USA",Mingma Dorje Sherpa,N Col-NE Ridge,Success,6,,EVER-171-83
2017 Spr,China,"Russia, Ukraine",Victor Bobok,N Col-NE Ridge,Success,10,,EVER-171-84
2017 Spr,China,Romania,Horia Colibasanu,N Col-NE Ridge,Success,1,,EVER-171-85
2017 Spr,China,Japan,Hiroyuki Kuraoka,N Col-NE Ridge,Success,11,,EVER-171-86
2017 Spr,China,Australia,Frank Marchetti,N Col-NE Ridge,Accident,,1,EVER-171-87
2017 Spr,China,Poland,Janusz Adamski,N Col-NE Ridge (up); SE Ridge-S Col (down),Success,1,,EVER-171-88
2017 Spr,China,"Switzerland, Russia",David Benovici,N Col-NE Ridge,Bad Weather,,,EVER-171-89
2017 Spr,China,Switzerland,Eric Favre,N Col-NE Ridge,Unknown,,,EVER-171-90
2017 Spr,China,"Spain, France",Kilian Jornet,N Col-NE Ridge,Success,1,,EVER-171-91
2017 Spr,China,India,Anita Devi,N Col-NE Ridge,Success,2,,EVER-171-92
2017 Spr,China,India,Deepak Madhusudan Patidar,N Col-NE Ridge,Success,2,,EVER-171-93
2017 Spr,China,China,Wangchen Sonam,N Col-NE Ridge,Success,55,,EVER-171-94
2017 Spr,Nepal,Romania,Justin Ionescu,S Col-SE Ridge,Success,3,,EVER-171-95
2017 Win,Nepal,"Spain, Pakistan",Alex Chicon (Alex Txikon),S Col-SE Ridge,Bad Weather,,,EVER-174-01
2018 Spr,Nepal,Nepal,Sherpa Rope-Fixing,S Col-SE Ridge,Success,8,,EVER-181-01
2018 Spr,Nepal,"Nepal, Denmark, India, Mexico, Nepal, S Africa",Dawa Steven Sherpa,S Col-SE Ridge,Success,19,,EVER-181-02
2018 Spr,Nepal,India,Loveraj Singh Dharmshaktu,S Col-SE Ridge,Success,30,,EVER-181-03
2018 Spr,Nepal,India,Sanjay K. Gunjyal,S Col-SE Ridge,Success,16,,EVER-181-04
2018 Spr,China,"Australia, France",Alyssa Azar,N Col-NE Ridge,Success,6,,EVER-181-05
2018 Spr,Nepal,"New Zealand, Australia, Canada, Ireland, USA",Robert Smith,S Col-SE Ridge,Success,21,,EVER-181-06
2018 Spr,Nepal,"New Zealand, Singapore",Guy Cotter,S Col-SE Ridge,Success,5,,EVER-181-07
2018 Spr,Nepal,"USA, S Africa, UK",Garrett Madison,S Col-SE Ridge,Success,17,,EVER-181-08
2018 Spr,Nepal,UK,Ed Wardle,S Col-SE Ridge,Success,6,,EVER-181-09
2018 Spr,Nepal,"UK, Australia, Ireland, Macedonia",Tim Mosedale,S Col-SE Ridge,Success,9,1,EVER-181-10
2018 Spr,Nepal,"UK, Australia",Jon Gupta,S Col-SE Ridge,Success,3,,EVER-181-11
2018 Spr,Nepal,"UK, Brazil, France, Germany, Ireland",Victor Saunders,S Col-SE Ridge,Success,15,,EVER-181-12
2018 Spr,Nepal,"UK, USA",Kenton Cool,S Col-SE Ridge,Success,4,,EVER-181-13
2018 Spr,Nepal,"UK, Ireland, Norway, USA",David Hamilton,S Col-SE Ridge,Success,8,,EVER-181-14
2018 Spr,Nepal,"UK, Nepal",Jonathan Griffith,S Col-SE Ridge,Success,4,,EVER-181-15
2018 Spr,Nepal,"Nepal, Algeria, Australia, Bulgaria, Canada, India, Norway, Romania, Spain, UK, USA",Seven Summit Treks,S Col-SE Ridge,Success,15,,EVER-181-16
2018 Spr,Nepal,"China, USA",Song Yu-Jiang,S Col-SE Ridge,Success,21,,EVER-181-17
2018 Spr,Nepal,China,Zhang Wei,S Col-SE Ridge,Success,17,,EVER-181-18
2018 Spr,Nepal,Italy,Marco Camandona,S Col-SE Ridge,Success,4,,EVER-181-19
2018 Spr,Nepal,Czech Republic,Miroslav Hrad,S Col-SE Ridge,Success,4,,EVER-181-20
2018 Spr,Nepal,Ukraine,Taras Pozdnii,S Col-SE Ridge,Success,6,1,EVER-181-21
2018 Spr,Nepal,"USA, Australia",Daniel Stringham,S Col-SE Ridge,Success,8,,EVER-181-22
2018 Spr,Nepal,India,Sarfraz Singh,S Col-SE Ridge,Success,13,,EVER-181-23
2018 Spr,Nepal,"Brazil, Australia",Carlos Santalena,S Col-SE Ridge,Success,9,1,EVER-181-24
2018 Spr,Nepal,"USA, Australia, Austria, Brazil, Canada, France, India, Norway, S Africa, Spain, Sri Lanka, UK",Greg Vernovage,S Col-SE Ridge,Success,36,,EVER-181-25
2018 Spr,Nepal,"UK, Canada, USA",Dani Fuller,S Col-SE Ridge,Success,9,,EVER-181-26
2018 Spr,Nepal,"USA, Hungary",Mike Hamill,S Col-SE Ridge,Success,10,,EVER-181-27
2018 Spr,Nepal,"USA, UK",Jacob Schmitz,S Col-SE Ridge,Success,4,,EVER-181-28
2018 Spr,Nepal,"Australia, China, India, Malaysia, Mongolia, Nepal, Poland, Switzerland",Samantha McMahon,S Col-SE Ridge,Success,19,,EVER-181-29
2018 Spr,Nepal,Nepal,Prakash Raj Pandey,S Col-SE Ridge,Success,13,,EVER-181-30
2018 Spr,Nepal,"USA, Canada, Mexico, Poland",Ben Jones,S Col-SE Ridge,Success,19,,EVER-181-31
2018 Spr,Nepal,Chile,Hernan Leal,S Col-SE Ridge,Success,3,,EVER-181-32
2018 Spr,Nepal,Chile,Maria Paz Valenzuela,S Col-SE Ridge,Success,3,,EVER-181-33
2018 Spr,Nepal,USA,Willie Benegas,S Col-SE Ridge,Success,4,,EVER-181-34
2018 Spr,Nepal,Nepal,Bipin Pokhrel,S Col-SE Ridge,"Illness, AMS",,,EVER-181-35
2018 Spr,Nepal,Nepal,Purnima Shrestha,S Col-SE Ridge,Success,2,,EVER-181-36
2018 Spr,Nepal,"China, Nepal",Bao Yi-Fei,S Col-SE Ridge,Success,20,,EVER-181-37
2018 Spr,Nepal,"Russia, Kazakhstan, Switzerland",Oleg Polyakov,S Col-SE Ridge,Success,7,,EVER-181-38
2018 Spr,Nepal,"Russia, Australia, Kazakhstan",Oxana Morneva,S Col-SE Ridge,Success,3,,EVER-181-39
2018 Spr,Nepal,"USA, Brazil, Norway, Turkey",Ryan Waters,S Col-SE Ridge,Success,8,,EVER-181-40
2018 Spr,Nepal,France,Patrick Arnoult,S Col-SE Ridge,Success,2,,EVER-181-41
2018 Spr,Nepal,China,Chen Guang,S Col-SE Ridge,Success,2,,EVER-181-42
2018 Spr,Nepal,Nepal,Rojita Buddhacharya,S Col-SE Ridge,Success,14,,EVER-181-43
2018 Spr,Nepal,"China, Malaysia, USA",Cen Gu-Yu,S Col-SE Ridge,Success,9,,EVER-181-44
2018 Spr,Nepal,"Nepal, Canada, China",Mingma Gyalje Sherpa,S Col-SE Ridge,Success,16,,EVER-181-45
2018 Spr,Nepal,Canada,Gabriel Filippi,S Col-SE Ridge,Success,3,,EVER-181-46
2018 Spr,Nepal,"USA, UK",Craig Van Hoy,S Col-SE Ridge,Success,4,,EVER-181-47
2018 Spr,Nepal,"Italy, India, Iran, Poland",Marco Zaffaroni,S Col-SE Ridge,Success,4,,EVER-181-48
2018 Spr,Nepal,Belgium,Damien Francois,S Col-SE Ridge,"Illness, AMS",,,EVER-181-49
2018 Spr,Nepal,S Korea,Choi Im-Bok,S Col-SE Ridge,Success,4,,EVER-181-50
2018 Spr,Nepal,S Korea,Choi Jin-Chul,S Col-SE Ridge,Success,3,,EVER-181-51
2018 Spr,Nepal,"Romania, Slovakia",Horia Colibasanu,Khumbu Icefall-W Shoulder-N Face (Hornbein),Bad Conditions,,,EVER-181-52
2018 Spr,Nepal,"Poland, India, Japan",Wojtek Gawron,S Col-SE Ridge,Success,6,,EVER-181-53
2018 Spr,Nepal,India,Sauraj Jhingan,S Col-SE Ridge,Success,4,,EVER-181-54
2018 Spr,Nepal,USA,Todd Passey,S Col-SE Ridge,Success,6,,EVER-181-55
2018 Spr,Nepal,"Australia, USA",William Sayer,S Col-SE Ridge,Success,3,,EVER-181-56
2018 Spr,Nepal,Sweden,Per Sunnemark,S Col-SE Ridge,Success,2,,EVER-181-57
2018 Spr,Nepal,China,Wang Tie-Nan,S Col-SE Ridge,Success,14,,EVER-181-58
2018 Spr,Nepal,Japan,Nobukazu Kuriki,SW Face,Accident,,1,EVER-181-59
2018 Spr,Nepal,"Norway, Ireland, Mexico, Nepal, UK, USA",Monica Hundseid,S Col-SE Ridge,Success,16,,EVER-181-60
2018 Spr,Nepal,Japan,Kenji Kondo,S Col-SE Ridge,Success,10,,EVER-181-61
2018 Spr,Nepal,China,John Tsang,S Col-SE Ridge,Success,3,,EVER-181-62
2018 Spr,Nepal,"China, Norway",Zheng Chao-Hui,S Col-SE Ridge,Success,10,,EVER-181-63
2018 Spr,Nepal,India,"Tamut Taka, Kishon Tekseng",S Col-SE Ridge,Success,2,,EVER-181-64
2018 Spr,Nepal,Japan,Kiyomitsu Shikoda,S Col-SE Ridge,Unknown,,,EVER-181-65
2018 Spr,China,"Russia, Nepal, Poland, Ukraine",Alex Abramov,N Col-NE Ridge,Success,57,1,EVER-181-66
2018 Spr,China,"Netherlands, Belgium, Bulgaria, Denmark, France, New Zealand, Sweden, UK, USA",Arnold Coster,N Col-NE Ridge,Success,12,,EVER-181-67
2018 Spr,China,"UK, Australia, Finland, Germany, Paraguay, Sweden, USA",David O'Brien,N Col-NE Ridge,Success,12,,EVER-181-68
2018 Spr,China,"Austria, Germany",Andreas Neuschmid,N Col-NE Ridge,Success,7,,EVER-181-69
2018 Spr,China,"UK, Ecuador, USA",Adrian Ballinger,N Col-NE Ridge,Success,10,,EVER-181-70
2018 Spr,China,"USA, Canada, Ecuador",Chad Peele,N Col-NE Ridge,Lack of Supplies,,,EVER-181-71
2018 Spr,China,"Japan, Indonesia",Hiroyuki Kuraoka,N Col-NE Ridge,Success,18,,EVER-181-72
2018 Spr,China,"Austria, Germany, USA",Lukas Furtenbach,N Col-NE Ridge,Success,20,,EVER-181-73
2018 Spr,China,"UK, USA",Phil Crampton,N Col-NE Ridge,Success,12,,EVER-181-74
2018 Spr,China,"UK, Australia",Sean James,N Col-NE Ridge,Success,5,,EVER-181-75
2018 Spr,China,"Japan, New Zealand",Ryuseki Hiraoka,N Col-NE Ridge,Success,4,,EVER-181-76
2018 Spr,China,"Russia, Ukraine",Victor Bobok,N Col-NE Ridge,Success,7,,EVER-181-77
2018 Spr,China,Nepal,Anish Luitel,N Col-NE Ridge,Success,1,,EVER-181-78
2018 Spr,China,"Sweden, Poland",Bjorn Lindwall,N Col-NE Ridge,Success,6,,EVER-181-79
2018 Spr,China,Canada,Illina Frankiv,N Col-NE Ridge,Success,2,,EVER-181-80
2018 Spr,China,UK,Rupert Jones-Warner,N Col-NE Ridge,Lack of Supplies,,,EVER-181-81
2018 Spr,China,"Poland, India",Zbigniew Bak,N Col-NE Ridge,Success,5,,EVER-181-82
2018 Spr,China,China,Tsering Samdrup,N Col-NE Ridge,Success,28,,EVER-181-83
2018 Spr,China,China,Huang Nu-Bo,N Col-NE Ridge,Success,31,,EVER-181-84
2018 Spr,China,India,Shekhar Bachinepally,N Col-NE Ridge,Success,40,,EVER-181-85
2018 Spr,Nepal,Japan,Kenichi Kubo,S Col-SE Ridge,Success,3,,EVER-181-86
2018 Spr,China,Nepal,Sherpa Rope-Fixing,N Col-NE Ridge,Success,5,,EVER-181-87
2019 Spr,Nepal,Nepal,Sherpa Rope-Fixing,S Col-SE Ridge,Success,8,,EVER-191-01
2019 Spr,Nepal,"Nepal, Greece, India, Syria, UK, USA",Dawa Steven Sherpa,S Col-SE Ridge,Success,19,,EVER-191-02
2019 Spr,Nepal,China,Song Yu-Jiang,S Col-SE Ridge,Success,5,,EVER-191-03
2019 Spr,Nepal,"India, Nepal",Romil Barthwal,S Col-SE Ridge,Success,28,,EVER-191-04
2019 Spr,Nepal,"New Zealand, Iceland, Ireland, Nepal, Switzerland, UK, USA",Mike Roberts,S Col-SE Ridge,Success,19,,EVER-191-05
2019 Spr,Nepal,"USA, Canada, Egypt, Lebanon, Oman, Poland, Saudi Arabia, UK",Garrett Madison,S Col-SE Ridge,Success,31,,EVER-191-06
2019 Spr,Nepal,UK,Kenton Cool,S Col-SE Ridge,Success,5,,EVER-191-07
2019 Spr,Nepal,Germany,David Goettler,S Col-SE Ridge,Bad Weather,,,EVER-191-08
2019 Spr,Nepal,"USA, Norway",Ryan Waters,S Col-SE Ridge,Success,6,,EVER-191-09
2019 Spr,Nepal,"USA, Canada, Denmark, Dominican Republic, France, Lebanon, Netherlands, Norway, UK",Greg Vernovage,S Col-SE Ridge,Success,35,,EVER-191-10
2019 Spr,Nepal,"USA, Iceland, Norway, UK",Ben Jones,S Col-SE Ridge,Success,23,,EVER-191-11
2019 Spr,Nepal,"USA, Poland, UK",Paul Mayewski,S Col-SE Ridge,Other,,,EVER-191-12
2019 Spr,Nepal,"UK, Portugal, Ukraine",David Hamilton,S Col-SE Ridge,Success,12,,EVER-191-13
2019 Spr,Nepal,"UK, Belgium, Iran, USA",Dani Fuller,S Col-SE Ridge,Success,11,1,EVER-191-14
2019 Spr,Nepal,"New Zealand, Australia, Austria, UK","Mark Woodward, Russell Brice",S Col-SE Ridge,Success,7,,EVER-191-15
2019 Spr,Nepal,"USA, Argentina, Canada, UK, Uruguay",Damian Benegas,S Col-SE Ridge,Success,9,,EVER-191-16
2019 Spr,Nepal,"USA, Argentina, Australia, Brazil, Ecuador, Germany, India, Japan, Kosovo, Qatar, Singapore, UK",Mike Hamill,S Col-SE Ridge,Success,58,1,EVER-191-17
2019 Spr,Nepal,"Canada, Botswana, France, India, Japan, Peru, UK, USA",Dalip Shekhawat,S Col-SE Ridge,Success,35,1,EVER-191-18
2019 Spr,Nepal,"Ireland, S Africa",Noel Hanna,S Col-SE Ridge,Success,7,1,EVER-191-19
2019 Spr,Nepal,China,Wang Ping,S Col-SE Ridge,Success,26,,EVER-191-20
2019 Spr,Nepal,"China, USA","Zhang Wei, Sun Yi-Quan",S Col-SE Ridge,Success,20,,EVER-191-21
2019 Spr,Nepal,India,Shridhar Pokhriyal,S Col-SE Ridge,Success,22,,EVER-191-22
