date,time,hour_of_the_day_,part_of_body,side,number_of_times,type,location,datetime
Feb 16,13:15,13,Hand,Right,1,Brush,Meal,2026-02-16 13:15:00
Feb 16,14:44,14,Hand,Right,1,Pinch,Meal,2026-02-16 14:44:00
Feb 16,14:59,14,Hand,Right,2,Pinch,Commute,2026-02-16 14:59:00
Feb 16,15:00,15,Hand,Right,1,Scracth,Commute,2026-02-16 15:00:00
Feb 16,15:01,15,Hand,Right,1,Scracth,Commute,2026-02-16 15:01:00
Feb 16,15:05,15,Hand,Right,1,Touch,Commute,2026-02-16 15:05:00
Feb 16,15:51,15,Tongue,,1,Scracth,Commute,2026-02-16 15:51:00
Feb 16,15:52,15,Hand,Right,1,Scracth,Commute,2026-02-16 15:52:00
Feb 16,16:15,16,Hand,Left,1,Pinch,Home,2026-02-16 16:15:00
Feb 16,16:21,16,Hand,Left,1,Scracth,Home,2026-02-16 16:21:00
Feb 16,16:22,16,Hand,Left,1,Scracth,Home,2026-02-16 16:22:00
Feb 16,16:34,16,Hand,Right,1,Scracth,Home,2026-02-16 16:34:00
Feb 16,16:36,16,Hand,Right,1,Scracth,Home,2026-02-16 16:36:00
Feb 16,16:37,16,Hand,Right,1,Scracth,Home,2026-02-16 16:37:00
Feb 16,16:43,16,Hand,Right,1,Pinch,Home,2026-02-16 16:43:00
Feb 16,17:20,17,Hand,Right,1,Scracth,Home,2026-02-16 17:20:00
Feb 16,17:23,17,Hand,Right,1,Scracth,Home,2026-02-16 17:23:00
Feb 16,17:36,17,Hand,Right,1,Scracth,Home,2026-02-16 17:36:00
Feb 16,17:52,17,Hand,Left,1,Scracth,Home,2026-02-16 17:52:00
Feb 16,17:53,17,Hand,Left,1,Scracth,Home,2026-02-16 17:53:00
Feb 16,18:04,18,Hand,Right,2,Scracth,Home,2026-02-16 18:04:00
Feb 16,20:30,20,Hand,Right,1,Scracth,Home,2026-02-16 20:30:00
Feb 16,20:52,20,Fork,Right,1,Scracth,Home,2026-02-16 20:52:00
Feb 16,21:15,21,Hand,Right,1,Pinch,Home,2026-02-16 21:15:00
